sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 10
Report intermediate results every 10 second(s)
Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[1640s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1650s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1660s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1670s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1680s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1690s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1700s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1710s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1720s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1730s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1740s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1750s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1760s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1770s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1780s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1790s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1800s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1810s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1820s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1830s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1840s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1850s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1860s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1870s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1880s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1890s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1900s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1910s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1920s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1930s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1940s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
[1950s] threads: 10, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (99%), errors: 0.00, reconnects:  0.00
